A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,Class
0.2103,0.3872,0.1417,0.0226,0.2689,0.3779,0.1599,0.0206,0.2705,0.3143,0.2266,0.0253,0.0019,0.5451,0.2314,0.5588,0.6773,0.6222,0.6736,0.7153,0.467,0.4789,0.5719,0.3304,0.0019,0.5817,0.214,0.533,0.5777,0.5365,0.6582,0.6347,0.4996,0.565,0.6412,0.1816,1
0.3965,0.1594,0.2476,0.0342,0.4974,0.1739,0.2317,0.0217,0.4912,0.191,0.3465,0.0255,0.0004,0.5985,0.1531,0.7636,0.6451,0.718,0.6177,0.7229,0.556,0.5776,0.5336,0.3059,0.0004,0.6372,0.1039,0.6089,0.5834,0.7002,0.5907,0.6204,0.616,0.5939,0.4972,0.4108,1
0.409,0.0798,0.4499,0.0142,0.5805,0.0696,0.3788,0.014,0.559,0.0966,0.5202,0.0128,0.0006,0.8854,0.4455,0.806,0.8861,0.9775,0.8112,0.9643,0.7846,0.8917,0.9342,0.5924,0.0006,0.9037,0.3015,0.8469,1,0.7956,0.6679,0.9633,0.86,0.9812,0.8745,0.6111,1
0.2767,0.2635,0.3302,0.0355,0.3931,0.2946,0.2861,0.0376,0.3966,0.2509,0.3976,0.0373,0.0025,0.6113,0.2437,0.6805,0.6685,0.6596,0.5783,0.7562,0.4908,0.74,0.6048,0.4618,0.0025,0.6192,0.1625,0.7226,0.6394,0.6439,0.6661,0.6434,0.6755,0.8104,0.6534,0.4475,1
0.4674,0.1713,0.4314,0.071,0.6736,0.2092,0.382,0.0723,0.6488,0.207,0.5267,0.0738,0.0013,0.8215,0.4063,0.8147,0.7609,0.9111,0.8186,0.9476,0.749,0.7404,0.843,0.6106,0.0013,0.8197,0.1719,0.6792,0.7512,0.878,0.8843,0.9652,0.7869,0.8648,0.894,0.5845,1
0.3104,0.2513,0.2014,0.0416,0.4172,0.2526,0.2172,0.0323,0.4004,0.2448,0.3178,0.0325,0.0007,0.7051,0.3151,0.8354,0.7045,0.762,0.7098,0.8207,0.5948,0.7532,0.6711,0.3297,0.0007,0.7374,0.3343,0.8082,0.8928,0.7309,0.7436,0.7779,0.7735,0.9033,0.8193,0.3288,1
0.339,0.2286,0.2394,0.0671,0.4542,0.2464,0.2597,0.0517,0.4224,0.295,0.3281,0.0537,0.0028,0.6683,0.3065,0.7842,0.6663,0.7503,0.6799,0.7305,0.63,0.6718,0.7912,0.3416,0.0028,0.6938,0.0366,0.6701,0.7208,0.5201,0.6721,0.6069,0.6178,0.6988,0.8023,0.3273,1
0.6867,0.0376,0.5437,0.0331,0.9433,0.0497,0.449,0.0387,0.9411,0.0564,0.6341,0.0388,0.0017,0.8679,0.3968,0.9113,0.8652,0.9837,0.7566,0.8948,0.7998,0.8309,0.9386,0.6353,0.0017,0.883,0.1695,0.6925,0.821,0.7576,0.7567,0.7939,0.7459,0.704,0.6711,0.3939,1
0.3143,0.2549,0.312,0.0237,0.4672,0.2886,0.2507,0.0227,0.4518,0.2804,0.3849,0.0225,0.0032,0.7054,0.4105,0.8495,0.7757,0.7935,0.666,0.8427,0.5379,0.6665,0.7286,0.4236,0.0032,0.7063,0.2767,0.7571,0.861,0.7639,0.7572,0.5814,0.5974,0.8745,0.6832,0.4429,1
0.3743,0.2311,0.3109,0.0156,0.5523,0.2738,0.2308,0.012,0.5124,0.2959,0.3311,0.0121,0.0052,0.6906,0.4113,0.8071,0.7258,0.7645,0.7137,0.7793,0.588,0.6743,0.6557,0.4503,0.0052,0.6839,0.3243,0.6758,0.6607,0.8187,0.7276,0.5945,0.4641,0.843,0.6134,0.2214,1
0.4703,0.1299,0.3791,0.0092,0.6779,0.1452,0.3159,0.0042,0.6371,0.1581,0.3845,0.0042,0.0008,0.8526,0.371,0.8808,0.7915,0.9199,0.7791,0.8844,0.8138,0.8741,0.8437,0.6915,0.0008,0.857,0.3428,0.878,0.757,0.8309,0.8293,0.7029,0.8978,0.9357,0.93,0.6233,1
0.2895,0.2917,0.1799,0.0163,0.39,0.2917,0.1829,0.007,0.3791,0.2557,0.2804,0.0134,0.0005,0.6701,0.2092,0.7099,0.676,0.763,0.7127,0.747,0.6385,0.6012,0.8215,0.4805,0.0005,0.6945,0.1304,0.6954,0.7812,0.7226,0.7002,0.6835,0.8304,0.9884,0.8165,0.5619,1
