A2,A8,A13,CLASS
6,4,67,1
48,2,22,2
12,2,49,1
42,2,45,1
24,3,53,2
36,2,35,1
24,3,53,1
36,2,35,1
12,2,61,1
30,4,28,2
12,3,25,2
48,3,24,2
12,1,22,1
24,4,60,2
15,2,28,1
24,4,32,2
24,4,53,1
30,2,25,1
24,4,44,2
24,3,31,1
9,4,48,1
6,2,44,1
10,1,48,1
12,3,44,1
10,2,26,1
6,1,36,1
6,4,39,1
12,3,42,1
7,3,34,1
60,3,63,2
18,3,36,1
24,2,27,1
18,2,30,1
12,4,57,1
12,4,33,1
45,4,25,2
48,1,31,1
18,4,37,2
10,2,37,1
9,4,24,1
30,4,30,1
12,3,26,1
18,2,44,1
30,1,24,1
48,4,58,2
11,4,35,1
36,4,39,1
6,1,23,1
11,1,39,1
12,4,28,1
24,4,29,1
27,1,30,1
12,3,25,1
18,2,31,1
36,4,57,2
6,1,26,1
12,2,52,2
36,2,31,1
18,3,23,1
36,4,23,2
9,2,27,1
15,4,50,1
36,4,61,2
48,2,25,2
24,4,26,1
27,4,48,1
12,2,29,1
12,4,22,1
36,4,37,2
36,4,25,1
36,1,30,1
7,4,46,1
8,3,51,1
42,2,41,1
36,4,40,2
12,4,66,1
42,4,34,2
11,2,51,1
54,2,39,1
30,2,22,1
24,1,44,2
15,4,47,1
18,3,24,1
24,4,58,1
10,3,52,1
12,4,29,1
18,4,27,1
36,1,47,2
18,4,30,1
12,4,28,2
12,4,56,1
12,4,54,1
12,4,33,2
24,4,20,1
12,4,54,1
54,3,58,2
12,4,61,1
18,4,34,1
36,4,36,1
20,3,36,1
24,4,41,1
36,4,24,1
6,3,24,1
9,4,35,1
12,2,26,1
24,2,39,2
18,2,39,2
12,2,32,1
24,1,30,1
14,1,35,1
6,1,31,1
15,4,23,1
18,3,28,1
36,4,25,2
12,3,35,1
48,4,47,1
42,4,30,2
10,2,27,1
33,1,23,2
12,3,36,1
21,3,25,2
24,4,41,1
12,3,24,1
10,4,63,1
18,4,27,2
12,4,30,1
12,4,40,1
12,4,30,2
12,4,34,1
12,3,29,2
48,1,24,1
36,4,29,2
15,2,27,1
18,4,47,1
60,2,21,1
12,4,38,1
27,2,27,1
12,4,66,2
15,4,35,1
12,2,44,1
6,2,27,1
36,4,30,1
27,3,27,1
18,2,22,2
21,4,23,1
48,4,30,1
6,1,39,1
12,4,51,1
36,3,28,1
18,4,46,1
6,2,42,1
10,1,38,1
36,4,24,1
24,2,29,1
24,4,36,1
12,2,20,2
9,3,48,1
12,4,45,1
24,2,38,1
6,1,34,1
24,3,36,1
18,4,30,1
15,4,36,1
10,2,70,1
36,4,36,1
6,1,32,1
18,4,33,2
11,4,20,1
24,2,25,1
24,4,31,2
15,4,33,2
12,4,26,1
